Filière de formation détaillée,Effectif total des candidats pour la formation,En Phase Principale,Dont Bac Tech,En Phase Complémentaire,Dont Bac Tech,Dont Bac Pro,Dont Bac Pro,Dont Bac G,Dont Bac G,Dont Néo Bac,En Phase Principale,En Phase Complémentaire,Nb Max Admis,Dont Bac G,Dont Bac Pro,Donc Bac Tech,Dont F,Dont F
"Fluide, énergie, domotique - option B froid et conditionnement d'air",3648,3478,778,167,44,2116,41,113,9,332,347,31,541,7,237,88,66,6
"Fluide, énergie, domotique - option C domotique et bâtiment communicants",6614,6380,1893,231,64,3446,85,293,12,609,640,36,828,20,393,196,199,22
Fonderie,367,333,141,34,10,70,10,36,1,55,54,12,86,3,28,24,32,7
Forge,138,138,50,0,0,23,0,43,0,13,15,0,15,4,4,5,6,2
Formation de base aux métiers du théâtre,231,230,17,1,0,17,0,148,0,33,42,0,45,31,0,2,150,35
Formation préparatoire aux professions de santé (DUPPS),2181,2005,737,176,42,274,38,749,17,246,249,50,300,79,49,118,1859,252
Générale,409,360,17,49,6,18,4,250,22,36,34,2,54,36,0,0,202,19
Génie biologique Option agronomie,9564,9500,1171,64,12,31,0,6375,15,417,499,5,504,323,1,93,5209,305
Génie biologique Option analyses biologiques et biochimiques,35644,35511,7595,133,23,155,1,21088,33,782,905,10,905,511,0,271,25589,713
Génie biologique Option bio-informatique,556,556,97,0,0,2,0,338,0,33,44,0,45,25,0,8,210,21
Génie biologique Option diététique,10118,10081,2303,36,25,85,0,4958,0,171,228,0,245,117,0,54,8069,201
Génie biologique Option génie de l'environnement,11058,10725,1725,333,86,61,4,7009,66,479,517,33,559,374,1,104,5098,277
Génie biologique Option industries agroalimentaires et biologiques,13471,13105,2382,364,104,61,3,8232,56,919,1041,42,1100,668,0,251,8675,704
Génie chimique génie des procédés,6088,5642,930,443,66,70,6,3582,116,493,561,50,700,355,5,133,2850,268
Génie civil,3688,3378,478,307,52,39,25,2202,64,256,283,71,588,191,10,55,807,50
Génie civil - Construction durable,33723,32944,9570,777,181,541,33,18286,193,2214,2400,86,2565,1373,26,815,5782,482
Génie civil Trinational,106,106,24,0,0,0,0,68,0,8,9,0,9,6,0,2,26,2
génie des équipements agricoles,1287,1273,433,14,1,542,4,133,0,176,192,4,274,20,96,60,65,5
