Filière de formation très agrégée,Filière de formation,Filière de formation détaillée,Effectif total des candidats pour la formation,Dont F,En Phase Principale,Dont Bac G,Dont Bac Tech,Dont Bac Pro,En Phase Complémentaire,Dont Bac G,Dont Bac Tech,Dont Bac Pro,Nb Max Admis,En Phase Principale,En Phase Complémentaire,Dont Néo Bac,Dont Bac G,Dont Bac Pro,Donc Bac Tech,Dont F
BTS,BTS - Production,"Design de mode, textile et environnement, option textile et matériaux de surface",1389,1231,1347,0,522,169,42,0,17,14,107,99,7,56,0,12,44,90
BTS,BTS - Production,Design de produits,5355,2933,5203,0,2435,386,150,0,52,23,399,335,26,159,1,33,125,217
BTS,BTS - Production,Design d'espace,8556,6092,8375,0,3021,1256,181,0,70,28,380,338,23,156,0,42,114,304
BTS,BTS - Services,Design graphique option Communication et médias imprimés,9404,6857,9168,0,2686,1379,231,0,41,43,527,476,26,204,0,81,123,375
BTS,BTS - Services,Design graphique option Communication et médias numériques,7192,4274,6919,0,1641,1423,271,0,40,58,347,318,18,137,0,70,67,208
BTS,BTSA,Développement de l'agriculture des régions chaudes,360,118,327,62,82,83,30,2,4,13,84,61,4,55,15,26,14,18
BTS,BTS - Production,Développement et Réalisation Bois,2814,252,2753,371,761,1230,61,2,18,22,309,249,12,241,27,179,35,27
BTS,BTSA,"Développement, animation des territoires ruraux",3496,2218,3123,282,697,1326,360,28,59,147,805,466,79,465,29,324,112,397
BTS,BTS - Services,Diététique,22831,18740,21810,6123,6912,1379,1018,105,174,102,2216,879,163,544,218,41,285,885
Autre formation,DCG,Diplôme de Comptabilité et de Gestion,43187,20384,40665,21377,9374,621,2509,592,402,185,3642,2885,187,2560,1848,4,708,1555
Autre formation,Mise à niveau,Diplôme des métiers d'arts,203,119,202,73,27,43,1,0,0,0,30,26,0,15,11,4,0,17
Autre formation,Formations diplômantes du social,Diplôme d'état d'Assistant de service social,569,492,219,68,39,24,350,21,61,99,96,38,6,13,7,1,5,41
Autre formation,Formations diplômantes paramédicales,Diplôme d'état de manipulateur/trice en électroradiologie médicale,12990,10231,12871,3559,3618,315,119,18,12,1,653,654,9,337,178,1,158,539
Autre formation,Formations diplômantes paramédicales,Diplôme d'Etat de Technicien de Laboratoire Médical,284,218,244,109,54,6,40,3,6,1,64,54,0,43,32,0,11,42
Autre formation,Formations diplômantes du social,Diplôme d'état d'Educateur de Jeunes Enfants,187,174,183,38,32,9,4,0,0,1,47,41,0,13,7,1,5,41
